domain,general
brake,wheel
brake,steering
brake,acceleration
brake,mechanical
brake,wheels
brake,traction
brake,accelerator
brake,pneumatic
brake,antilock
brake,anti-lock
brake,braking
brake,hydraulics
brake,throttle
brake,brakes
brake,rear
brake,pedals
vehicle,truck
vehicle,driving
vehicle,cars
vehicle,armored
vehicle,sedans
vehicle,vehicles
vehicle,automobiles
vehicle,pickup
vehicle,suvs
vehicle,sedan
vehicle,driver
vehicle,car
vehicle,minivan
vehicle,trucks
vehicle,tractor
certification,license
certification,riaa
certification,certify
certification,certificates
certification,accredited
certification,stringent
certification,certified
certification,required
certification,regulations
certification,accrediting
certification,requirement
certification,standards
certification,certifications
certification,licensure
certification,diplomas
certification,diploma
ase,newstand
ase,mdsd
ase,cac-40
ase,ftse
ase,cac
ase,0.47
ase,imkb-100
ase,dax
ase,0.21
ase,index
test,fourth
test,laboratory
test,tested
test,came
test,third
test,cricketer
test,second
test,standardized
test,twenty20
test,evaluation
test,indies
test,detected
test,rugby
test,last
test,cricketers
test,tests
test,samples
test,testing
